,time,volume,open,close,high,low
0,2022-02-01 07:00:00+00:00,57491.2,4.03,3.95,4.07,3.94
1,2022-02-01 08:00:00+00:00,32766.43,3.95,3.96,4.0,3.95
2,2022-02-01 09:00:00+00:00,16771.03,3.96,3.97,3.98,3.94
3,2022-02-01 10:00:00+00:00,12537.33,3.97,3.98,4.01,3.96
4,2022-02-01 11:00:00+00:00,8996.25,3.99,3.99,4.0,3.97
5,2022-02-01 12:00:00+00:00,15321.96,3.99,3.94,3.99,3.94
6,2022-02-01 13:00:00+00:00,7502.85,3.94,3.96,3.97,3.94
7,2022-02-01 14:00:00+00:00,13736.57,3.96,3.95,3.97,3.92
8,2022-02-01 15:00:00+00:00,14379.21,3.95,3.94,3.95,3.93
9,2022-02-01 16:00:00+00:00,7573.51,3.95,3.94,3.96,3.93
10,2022-02-01 17:00:00+00:00,8269.1,3.94,3.93,3.94,3.91
11,2022-02-01 18:00:00+00:00,2691.32,3.93,3.93,3.94,3.92
12,2022-02-01 19:00:00+00:00,2411.33,3.93,3.93,3.94,3.92
13,2022-02-01 20:00:00+00:00,6378.4,3.93,3.97,3.97,3.93
14,2022-02-02 07:00:00+00:00,26156.82,3.97,3.91,3.99,3.9
15,2022-02-02 08:00:00+00:00,45771.98,3.91,3.88,3.94,3.86
16,2022-02-02 09:00:00+00:00,23606.78,3.88,3.84,3.89,3.84
17,2022-02-02 10:00:00+00:00,34169.46,3.84,3.9,3.91,3.82
18,2022-02-02 11:00:00+00:00,17505.86,3.9,3.91,3.93,3.88
19,2022-02-02 12:00:00+00:00,20128.07,3.91,3.93,3.96,3.91
20,2022-02-02 13:00:00+00:00,14119.78,3.93,3.91,3.94,3.89
21,2022-02-02 14:00:00+00:00,15744.65,3.9,3.89,3.91,3.87
22,2022-02-02 15:00:00+00:00,15230.46,3.89,3.88,3.9,3.86
23,2022-02-02 16:00:00+00:00,8389.28,3.88,3.88,3.88,3.85
24,2022-02-02 17:00:00+00:00,7150.73,3.88,3.9,3.9,3.88
25,2022-02-02 18:00:00+00:00,3228.77,3.9,3.9,3.9,3.89
26,2022-02-02 19:00:00+00:00,2156.49,3.9,3.9,3.9,3.88
27,2022-02-02 20:00:00+00:00,3827.32,3.9,3.91,3.92,3.9
28,2022-02-03 07:00:00+00:00,35351.26,3.83,3.79,3.83,3.77
29,2022-02-03 08:00:00+00:00,28846.6,3.79,3.8,3.83,3.78
